year,net_interest_payments_usd_bn,total_gdp_usd_bn,n_economies,net_interest_payments_usd_tn,interest_as_pct_of_gdp
1980,43.68608103,3452.8450000000003,17,0.04368608103,1.2652198702808841
1981,47.202543219999995,3452.5019999999995,17,0.04720254322,1.367198142680294
1982,51.461478039999996,3299.411999999999,19,0.051461478039999994,1.5597166416319033
1983,65.42542708,3438.122,21,0.06542542708,1.9029408229260045
1984,74.71784414,3433.6800000000007,23,0.07471784414,2.1760281721068937
1985,85.81297423000001,3649.439,30,0.08581297423,2.35140179709813
1986,121.17873429000001,4978.617,31,0.12117873429,2.433983861180726
1987,141.60995875999998,6054.059,32,0.14160995876,2.339091157849634
1988,227.47500553000003,8268.363000000001,38,0.22747500553000002,2.751149236311952
1989,247.83662418999995,9272.548,45,0.24783662418999997,2.6727995820566246
1990,348.34907900999997,11471.881,76,0.34834907900999995,3.0365471801006305
1991,404.68790878000016,14317.872,87,0.40468790878000016,2.826452902917418
1992,464.1252983700002,15536.773999999998,94,0.4641252983700002,2.9872694187995545
1993,451.53981496000017,16072.877999999999,97,0.4515398149600002,2.8093277069607585
1994,468.14396968,17226.982000000007,102,0.46814396968,2.717504259771095
1995,593.7352801799999,20777.131000000012,123,0.5937352801799999,2.857638430349212
1996,611.6463816199997,20949.99,127,0.6116463816199997,2.9195545278064556
1997,554.6075976700002,20288.442999999996,137,0.5546075976700002,2.7336134057699764
1998,546.0672995700005,20202.682999999997,144,0.5460672995700006,2.7029444533184064
1999,527.6391103100001,21083.198,148,0.5276391103100001,2.502652160786993
2000,535.3852278599999,22122.843999999994,166,0.5353852278599999,2.420056064491528
2001,805.1904758799999,33198.01799999999,172,0.8051904758799999,2.425417312202193
2002,778.9815845799999,34329.47200000003,177,0.7789815845799999,2.269133602113074
2003,831.9235395299995,38623.72700000002,177,0.8319235395299995,2.153918340221282
2004,860.4696760199998,43518.165,180,0.8604696760199998,1.9772655304285
2005,892.4378149899995,47358.640000000014,185,0.8924378149899995,1.8844244999222937
2006,906.2201895000002,51308.97500000001,184,0.9062201895000002,1.7662020913495151
2007,1007.3561086300002,57962.666,185,1.0073561086300002,1.7379395706712324
2008,1083.55136686,63688.97900000001,185,1.0835513668599999,1.7013169058024933
2009,1018.0469726099992,60321.60799999999,185,1.0180469726099992,1.6876986644818874
2010,1144.31180255,65965.15199999999,185,1.14431180255,1.734721694494087
2011,1333.0220049900001,73252.78300000002,185,1.3330220049900001,1.819756124473796
2012,1299.8416145100002,74664.17799999996,185,1.2998416145100002,1.740917330543706
2013,1243.7544222599993,76874.377,186,1.2437544222599992,1.6179050430028195
2014,1278.8824373699997,79058.66900000004,187,1.2788824373699996,1.6176371972186872
2015,1187.0580380099996,74613.73899999997,187,1.1870580380099995,1.5909376127230404
2016,1201.8734299600005,75891.88399999996,187,1.2018734299600005,1.5836652967529457
2017,1293.0269900199994,80713.926,187,1.2930269900199993,1.6019874810946493
2018,1402.8890026899992,85713.82800000002,187,1.4028890026899992,1.6367125765168238
2019,1401.89684423,86963.14999999998,187,1.40189684423,1.61205849170597
2020,1306.9749787600008,84666.06600000005,186,1.306974978760001,1.5436821863909445
2021,1544.6151964200003,96546.80500000007,186,1.5446151964200003,1.5998615349518808
2022,1862.2583342300002,100571.85800000004,186,1.86225833423,1.8516694145493457
2023,2113.1512525600006,105022.301,185,2.1131512525600007,2.0120976520596328
2024,2445.5997756999996,109063.81999999998,184,2.4455997756999994,2.2423566089102693
2025,2720.13294719,111485.77800000003,179,2.7201329471899998,2.439892330652255
2026,2999.3175522600004,116677.71299999999,178,2.9993175522600004,2.5706002244490347
2027,3211.3810789899985,122375.60999999994,178,3.2113810789899984,2.624200262609518
2028,3431.7917099200004,128619.34399999997,178,3.43179170992,2.6681769656048013
2029,3677.4876054399997,134920.96200000003,178,3.6774876054399996,2.7256606763891877
2030,3896.0218204699977,141588.455,178,3.896021820469998,2.7516521883581526
